Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Control_v_Case,Immune,OID00981,NF2,P35240,-4.62,-4.70,-4.53,0.91,0.00,0.00
Control_v_Case,Immune,OID01022,KPNA1,P52294,-1.49,-1.56,-1.42,0.26,0.00,0.00
Control_v_Mild,Immune,OID00981,NF2,P35240,-4.62,-4.80,-4.44,1.77,0.00,0.00
Control_v_Critical,Immune,OID00981,NF2,P35240,-4.44,-4.67,-4.22,1.87,0.00,0.00
Control_v_Case,Immune,OID01011,DAPP1,Q9UN19,-6.55,-7.13,-5.97,4.72,0.00,0.00
Control_v_Case,Immune,OID00936,PPP1R9B,Q96SB3,-4.86,-5.29,-4.43,3.31,0.00,0.00
Control_v_Case,Immune,OID00959,ITGA6,P23229,-4.49,-4.94,-4.05,2.17,0.00,0.00
Control_v_Case,Immune,OID00998,SPRY2,O43597,-5.06,-5.58,-4.55,3.81,0.00,0.00
Control_v_Mild,Neurology,OID00374,MANF,P55145,-2.85,-3.08,-2.63,7.97,0.00,0.00
Control_v_Case,Inflammation,OID00487,AXIN1,O15169,-4.86,-5.41,-4.31,4.27,0.00,0.00
Control_v_Case,Inflammation,OID00557,ST1A1,P50225,-4.67,-5.21,-4.12,3.21,0.00,0.00
Control_v_Case,Immune,OID00940,IRAK4,Q9NWZ3,-4.61,-5.15,-4.06,3.51,0.00,0.00
Control_v_Case,Immune,OID00994,SRPK2,P78362,-4.05,-4.55,-3.54,2.49,0.00,0.00
Control_v_Case,Immune,OID00958,DCTN1,Q14203,-4.12,-4.64,-3.60,4.69,0.00,0.00
Control_v_Mild,Immune,OID00979,BIRC2,Q13490,-1.74,-1.90,-1.57,1.33,0.00,0.00
Control_v_Case,Immune,OID00954,FGF2,P09038,-2.99,-3.38,-2.60,1.57,0.00,0.00
Control_v_Mild,Cardiovascular,OID00401,PDGF subunit B,P01127,-3.23,-3.56,-2.90,10.31,0.00,0.00
Control_v_Case,Inflammation,OID00558,STAMBP,O95630,-3.15,-3.58,-2.72,5.85,0.00,0.00
Control_v_Mild,Immune,OID01011,DAPP1,Q9UN19,-6.62,-7.31,-5.92,5.97,0.00,0.00
Control_v_Case,Inflammation,OID00535,CXCL10,P02778,4.39,3.76,5.01,11.20,0.00,0.00
Control_v_Case,Neurology,OID00371,LAT,O43561,-3.91,-4.46,-3.35,7.13,0.00,0.00
Control_v_Case,Cardiovascular,OID00443,ITGB1BP2,Q9UKP3,-4.88,-5.58,-4.18,4.59,0.00,0.00
Control_v_Mild,Immune,OID00936,PPP1R9B,Q96SB3,-5.28,-5.86,-4.69,4.17,0.00,0.00
Control_v_Mild,Immune,OID00994,SRPK2,P78362,-5.25,-5.84,-4.67,3.05,0.00,0.00
Control_v_Case,Immune,OID00989,PRKCQ,Q04759,-1.25,-1.43,-1.07,1.15,0.00,0.00
Control_v_Case,Inflammation,OID00528,IL10,P22301,2.89,2.47,3.31,4.33,0.00,0.00
Control_v_Mild,Immune,OID00962,FXYD5,Q96DB9,-1.97,-2.20,-1.75,1.32,0.00,0.00
Control_v_Case,Immune,OID01003,ICA1,Q05084,-2.44,-2.80,-2.08,1.92,0.00,0.00
Control_v_Case,Immune,OID00979,BIRC2,Q13490,-1.42,-1.63,-1.21,1.09,0.00,0.00
Control_v_Case,Immune,OID00946,EDAR,Q9UNE0,-2.95,-3.39,-2.52,2.53,0.00,0.00
Control_v_Mild,Immune,OID00976,EIF4G1,Q04637,-4.59,-5.14,-4.05,5.27,0.00,0.00
Control_v_Case,Immune,OID01015,LAMP3,Q9UQV4,2.32,1.97,2.68,5.01,0.00,0.00
Control_v_Case,Inflammation,OID00538,SIRT2,Q8IXJ6,-3.85,-4.45,-3.25,5.45,0.00,0.00
Control_v_Case,Immune,OID00999,STC1,P52823,1.81,1.53,2.09,6.62,0.00,0.00
Control_v_Critical,Immune,OID01011,DAPP1,Q9UN19,-6.82,-7.62,-6.03,6.07,0.00,0.00
Control_v_Case,Inflammation,OID00562,CSF-1,P09603,0.88,0.74,1.02,10.37,0.00,0.00
Control_v_Critical,Inflammation,OID00535,CXCL10,P02778,4.14,3.63,4.65,11.51,0.00,0.00
Control_v_Case,Immune,OID00947,IL6,P05231,5.14,4.32,5.97,3.93,0.00,0.00
Control_v_Case,Neurology,OID00315,SIGLEC1,Q9BZZ2,2.08,1.74,2.41,6.48,0.00,0.00
Control_v_Case,Immune,OID00983,SH2B3,Q9UQQ2,-4.04,-4.70,-3.38,4.14,0.00,0.00
Control_v_Case,Inflammation,OID00482,IL6,P05231,5.44,4.54,6.34,4.10,0.00,0.00
Control_v_Case,Cardiovascular,OID00424,DECR1,Q16698,-3.57,-4.16,-2.98,5.13,0.00,0.00
Control_v_Case,Immune,OID00962,FXYD5,Q96DB9,-1.59,-1.86,-1.33,1.08,0.00,0.00
Control_v_Mild,Immune,OID01022,KPNA1,P52294,-1.49,-1.69,-1.29,0.49,0.00,0.00
Control_v_Mild,Cardiovascular,OID00392,STK4,Q13043,-3.41,-3.88,-2.94,4.51,0.00,0.00
Control_v_Mild,Immune,OID00958,DCTN1,Q14203,-4.44,-5.05,-3.84,5.33,0.00,0.00
Control_v_Case,Cardiovascular,OID00406,Gal-9,O00182,1.72,1.43,2.01,8.51,0.00,0.00
Control_v_Critical,Immune,OID00936,PPP1R9B,Q96SB3,-4.81,-5.44,-4.17,4.45,0.00,0.00
Control_v_Case,Neurology,OID00306,PLXNB3,Q9ULL4,-1.75,-2.05,-1.45,4.44,0.00,0.00
Control_v_Case,Inflammation,OID00474,MCP-3,P80098,4.53,3.76,5.31,3.26,0.00,0.00
Control_v_Case,Immune,OID00948,DGKZ,Q13574,-0.92,-1.07,-0.76,0.87,0.00,0.00
Control_v_Case,Immune,OID00950,IRAK1,P51617,-2.39,-2.79,-1.98,2.96,0.00,0.00
Control_v_Mild,Immune,OID00953,PRDX3,P30048,-2.93,-3.34,-2.53,0.98,0.00,0.00
Control_v_Mild,Immune,OID00940,IRAK4,Q9NWZ3,-5.03,-5.73,-4.33,4.33,0.00,0.00
Control_v_Mild,Neurology,OID00371,LAT,O43561,-5.61,-6.40,-4.82,7.55,0.00,0.00
Control_v_Critical,Cardiovascular,OID00443,ITGB1BP2,Q9UKP3,-5.50,-6.25,-4.75,5.76,0.00,0.00
Control_v_Mild,Inflammation,OID00487,AXIN1,O15169,-5.24,-6.00,-4.48,5.08,0.00,0.00
Control_v_Case,Cardiovascular,OID00392,STK4,Q13043,-3.05,-3.59,-2.51,4.04,0.00,0.00
Control_v_Mild,Immune,OID00987,HEXIM1,O94992,-4.67,-5.35,-3.99,6.26,0.00,0.00
Control_v_Case,Immune,OID00953,PRDX3,P30048,-2.18,-2.57,-1.79,0.67,0.00,0.00
Control_v_Critical,Inflammation,OID00487,AXIN1,O15169,-5.11,-5.84,-4.38,5.40,0.00,0.00
Control_v_Critical,Neurology,OID00374,MANF,P55145,-1.81,-2.07,-1.55,8.30,0.00,0.00
Control_v_Case,Cardiovascular,OID00390,IL6,P05231,5.60,4.59,6.62,4.92,0.00,0.00
Control_v_Mild,Immune,OID00948,DGKZ,Q13574,-0.91,-1.05,-0.77,0.98,0.00,0.00
Control_v_Case,Immune,OID00939,ZBTB16,Q05516,-2.65,-3.13,-2.16,2.15,0.00,0.00
Control_v_Case,Immune,OID00993,IL10,P22301,2.86,2.32,3.39,4.53,0.00,0.00
Control_v_Case,Immune,OID00937,GLB1,P16278,-2.25,-2.67,-1.83,1.97,0.00,0.00
Control_v_Mild,Inflammation,OID00538,SIRT2,Q8IXJ6,-5.24,-6.06,-4.42,5.98,0.00,0.00
Control_v_Mild,Inflammation,OID00557,ST1A1,P50225,-5.25,-6.08,-4.41,4.01,0.00,0.00
Control_v_Case,Cardiovascular,OID00420,CD84,Q9UIB8,-1.46,-1.74,-1.18,5.02,0.00,0.00
Control_v_Severe,Neurology,OID00374,MANF,P55145,-4.71,-5.26,-4.16,8.58,0.00,0.00
Control_v_Case,Immune,OID00990,MGMT,P16455,-3.46,-4.11,-2.80,4.98,0.00,0.00
Control_v_Case,Inflammation,OID00550,CASP-8,Q14790,-2.52,-3.00,-2.04,4.43,0.00,0.00
Control_v_Critical,Immune,OID00958,DCTN1,Q14203,-4.18,-4.83,-3.53,5.78,0.00,0.00
Control_v_Case,Immune,OID01023,LAG3,P18627,1.41,1.14,1.68,2.96,0.00,0.00
Control_v_Case,Inflammation,OID05547,IFN-gamma,P01579,4.43,3.57,5.29,8.21,0.00,0.00
Control_v_Mild,Immune,OID00957,TRIM5,Q9C035,-2.44,-2.83,-2.04,2.73,0.00,0.00
Control_v_Case,Inflammation,OID00518,PD-L1,Q9NZQ7,1.61,1.29,1.92,6.00,0.00,0.00
Control_v_Critical,Inflammation,OID00528,IL10,P22301,3.41,2.86,3.96,4.47,0.00,0.00
Control_v_Critical,Neurology,OID00371,LAT,O43561,-4.15,-4.82,-3.48,8.35,0.00,0.00
Control_v_Mild,Immune,OID00954,FGF2,P09038,-3.15,-3.67,-2.62,2.11,0.00,0.00
Control_v_Critical,Immune,OID00993,IL10,P22301,3.42,2.86,3.98,4.70,0.00,0.00
Control_v_Mild,Immune,OID00955,PRDX5,P30044,-4.03,-4.71,-3.36,5.80,0.00,0.00
Control_v_Case,Cardiovascular,OID00437,PTX3,P26022,2.16,1.73,2.59,4.54,0.00,0.00
Control_v_Case,Cardiovascular,OID00389,IL-1ra,P18510,2.95,2.37,3.54,6.01,0.00,0.00
Control_v_Mild,Immune,OID00952,PRDX1,Q06830,-3.96,-4.63,-3.30,3.58,0.00,0.00
Control_v_Case,Immune,OID00976,EIF4G1,Q04637,-3.30,-3.96,-2.64,4.87,0.00,0.00
Control_v_Case,Immune,OID00965,LILRB4,Q8NHJ6,2.42,1.94,2.91,4.10,0.00,0.00
Control_v_Mild,Immune,OID00998,SPRY2,O43597,-5.22,-6.11,-4.33,4.79,0.00,0.00
Control_v_Case,Immune,OID00942,HCLS1,P14317,-2.86,-3.43,-2.28,5.87,0.00,0.00
Control_v_Case,Immune,OID00951,CLEC4A,Q9UMR7,-1.30,-1.57,-1.04,3.57,0.00,0.00
Control_v_Mild,Cardiovascular,OID00420,CD84,Q9UIB8,-1.74,-2.04,-1.43,5.24,0.00,0.00
Control_v_Case,Immune,OID01020,TANK,Q92844,-2.35,-2.84,-1.87,2.10,0.00,0.00
Control_v_Case,Inflammation,OID00484,MCP-1,P13500,2.01,1.60,2.43,11.95,0.00,0.00
Control_v_Mild,Immune,OID01003,ICA1,Q05084,-2.84,-3.35,-2.34,2.34,0.00,0.00
Control_v_Mild,Immune,OID00950,IRAK1,P51617,-3.04,-3.58,-2.50,3.28,0.00,0.00
Control_v_Mild,Immune,OID00939,ZBTB16,Q05516,-3.45,-4.06,-2.83,2.50,0.00,0.00
Control_v_Mild,Cardiovascular,OID00467,NEMO,Q9Y6K9,-3.88,-4.58,-3.17,6.38,0.00,0.00
Control_v_Case,Neurology,OID00323,LXN,Q9BS40,-1.03,-1.25,-0.82,2.06,0.00,0.00
Control_v_Critical,Immune,OID00998,SPRY2,O43597,-5.01,-5.88,-4.13,4.80,0.00,0.00
Control_v_Critical,Inflammation,OID00557,ST1A1,P50225,-4.39,-5.16,-3.62,4.35,0.00,0.00
Control_v_Critical,Inflammation,OID00558,STAMBP,O95630,-3.05,-3.58,-2.51,6.74,0.00,0.00
Control_v_Case,Immune,OID00967,KRT19,P08727,4.00,3.16,4.84,3.39,0.00,0.00
Control_v_Mild,Immune,OID00942,HCLS1,P14317,-4.38,-5.18,-3.58,6.15,0.00,0.00
Control_v_Case,Cardiovascular,OID00439,CCL17,Q92583,-3.45,-4.19,-2.71,9.17,0.00,0.00
Control_v_Case,Immune,OID01014,MASP1,P48740,-1.06,-1.29,-0.83,1.84,0.00,0.00
Control_v_Critical,Immune,OID00959,ITGA6,P23229,-4.29,-5.06,-3.51,2.94,0.00,0.00
Control_v_Case,Cardiovascular,OID00459,CTSL1,P07711,2.29,1.80,2.79,8.11,0.00,0.00
Control_v_Case,Immune,OID00985,CKAP4,Q07065,2.11,1.65,2.57,5.42,0.00,0.00
Control_v_Case,Cardiovascular,OID00395,PAR-1,P25116,-1.20,-1.46,-0.94,8.99,0.00,0.00
Control_v_Mild,Neurology,OID00318,CLEC1B,Q9P126,-3.28,-3.90,-2.66,11.01,0.00,0.00
Control_v_Mild,Immune,OID00959,ITGA6,P23229,-4.46,-5.32,-3.61,3.08,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00459,CTSL1,P07711,1.84,1.53,2.15,8.45,0.00,0.00
Control_v_Critical,Neurology,OID00315,SIGLEC1,Q9BZZ2,1.93,1.57,2.29,6.52,0.00,0.00
Control_v_Case,Cardiovascular,OID00467,NEMO,Q9Y6K9,-2.92,-3.57,-2.27,6.03,0.00,0.00
Control_v_Case,Neurology,OID00357,CDH6,P55285,-1.16,-1.42,-0.90,4.33,0.00,0.00
Control_v_Case,Neurology,OID00344,PVR,P15151,0.98,0.76,1.20,8.45,0.00,0.00
Control_v_Case,Neurology,OID00333,GFR-alpha-1,P56159,1.33,1.03,1.63,7.33,0.00,0.00
Control_v_Critical,Immune,OID00940,IRAK4,Q9NWZ3,-4.72,-5.63,-3.82,4.59,0.00,0.00
Control_v_Critical,Immune,OID00976,EIF4G1,Q04637,-3.33,-3.97,-2.69,6.01,0.00,0.00
Control_v_Mild,Immune,OID00937,GLB1,P16278,-2.95,-3.53,-2.37,2.33,0.00,0.00
Mild_v_Critical,Inflammation,OID00474,MCP-3,P80098,3.95,3.25,4.65,3.80,0.00,0.00
Control_v_Case,Cardiovascular,OID00412,RAGE,Q15109,1.56,1.21,1.91,13.61,0.00,0.00
Mild_v_Critical,Immune,OID00947,IL6,P05231,4.42,3.63,5.22,4.60,0.00,0.00
Mild_v_Critical,Immune,OID00979,BIRC2,Q13490,0.32,0.26,0.38,0.57,0.00,0.00
Control_v_Case,Inflammation,OID00517,IL-18R1,Q13478,1.54,1.19,1.90,8.85,0.00,0.00
Mild_v_Critical,Inflammation,OID00482,IL6,P05231,4.46,3.64,5.28,4.75,0.00,0.00
Control_v_Severe,Cardiovascular,OID00392,STK4,Q13043,-4.46,-5.16,-3.77,5.44,0.00,0.00
Control_v_Case,Immune,OID00955,PRDX5,P30044,-2.43,-2.99,-1.88,5.54,0.00,0.00
Control_v_Critical,Neurology,OID00348,CPM,P14384,-1.23,-1.47,-0.99,6.50,0.00,0.00
Control_v_Mild,Inflammation,OID00520,CXCL5,P42830,-3.65,-4.39,-2.91,11.70,0.00,0.00
Control_v_Mild,Neurology,OID00324,gal-8,O00214,-2.65,-3.19,-2.12,7.15,0.00,0.00
Control_v_Mild,Immune,OID00983,SH2B3,Q9UQQ2,-4.33,-5.20,-3.45,4.84,0.00,0.00
Control_v_Case,Neurology,OID00300,SCARB2,Q14108,1.37,1.05,1.68,5.01,0.00,0.00
Control_v_Case,Neurology,OID00309,SMPD1,P17405,1.06,0.81,1.30,4.76,0.00,0.00
