"","Var1","Var2","value"
"1","IL-27","C1QTNF1",0.492806925473344
"2","ADM","C1QTNF1",0.597801149130613
"3","GAS6","C1QTNF1",0.618473015771386
"4","PSGL-1","C1QTNF1",0.494448995814245
"5","PAR-1","C1QTNF1",0.739757326002664
"6","RAGE","C1QTNF1",0.425717291206435
"7","TGM2","C1QTNF1",-0.186504861112934
"8","CXCL11","C1QTNF1",0.530167355078837
"9","CCL20","C1QTNF1",0.516597369236492
"10","ADA","C1QTNF1",0.474677358507842
"11","MEGF9","C1QTNF1",0.672988387056754
"12","CNDP1","C1QTNF1",0.547626760648104
"13","SERPINA7","C1QTNF1",0.623042404943652
"14","NID1","C1QTNF1",0.602379887637549
"15","CA1","C1QTNF1",-0.228551323152594
"16","FCGR3B","C1QTNF1",0.4648795440536
"17","PTPRS","C1QTNF1",0.439697249298874
"18","CCL14","C1QTNF1",0.49827456171668
"19","CCL3","IL-27",0.530289704394841
"20","SPON2","IL-27",0.443260861457612
"21","PAR-1","IL-27",0.564179816410153
"22","MEGF9","IL-27",0.480978557867649
"23","SPARCL1","IL-27",0.458569399788936
"24","CA1","IL-27",-0.220529223432303
"25","VASN","ADM",0.553943069660462
"26","GAS6","ADM",0.459130056613795
"27","KIM1","ADM",-0.222706860614433
"28","FGF-21","ADM",0.457750957592011
"29","GH","ADM",-0.295923674284239
"30","PRSS8","ADM",0.590566405214597
"31","DCN","ADM",-0.234129432239597
"32","Dkk-1","ADM",-0.306989661007932
"33","SPON2","ADM",0.447524540323145
"34","PSGL-1","ADM",0.606095682309498
"35","HO-1","ADM",-0.292877435110729
"36","PRELP","ADM",-0.197179123691582
"37","PAR-1","ADM",0.903319736254808
"38","COL18A1","ADM",-0.237024585095363
"39","LPL","ADM",0.489536289201038
"40","CST5","ADM",-0.183239022606811
"41","CXCL5","ADM",0.499641142565247
"42","TNFRSF13B","ADM",-0.195420865764484
"43","Flt3L","ADM",-0.195637833897297
"44","CXCL1","ADM",-0.194923680687634
"45","TNF","ADM",-0.248961613034788
"46","TNFSF14","ADM",0.549299979708805
"47","CXCL11","ADM",0.800240590574487
"48","CCL20","ADM",0.592645941289139
"49","AXIN1","ADM",-0.320235570552637
"50","CTSL1","ADM",0.519550144142072
"51","ADA","ADM",0.439543979207188
"52","LAP TGF-beta-1","ADM",-0.225590160216584
"53","CD59","ADM",-0.193435148156357
"54","MEGF9","ADM",0.461912336983965
"55","CA3","ADM",0.545643531143979
"56","REG1A","ADM",-0.20718883983988
"57","ICAM3","ADM",-0.220970786023175
"58","CNDP1","ADM",0.879367190585654
"59","SERPINA7","ADM",0.924106649874313
"60","NID1","ADM",0.528940565724592
"61","SAA4","ADM",-0.201614332052158
"62","VCAM1","ADM",0.592942532806418
"63","CD46","ADM",-0.190169529742607
"64","GNLY","ADM",-0.24497834716992
"65","IGFBP6","ADM",-0.197248707330783
"66","FCGR3B","ADM",0.491298086182003
"67","PTPRS","ADM",0.816270903013226
"68","CCL14","ADM",0.842104714800181
"69","TNC","ADM",-0.229331138489097
"70","FGF-21","CCL3",0.556082259827497
"71","APOM","CCL3",0.427528359438372
"72","PSGL-1","CCL3",0.431759572554939
"73","PRELP","CCL3",0.448015565029029
"74","XCL1","CCL3",0.533226434218993
"75","C2","CCL3",0.527990183695202
"76","CXCL6","CCL3",-0.182510477840214
"77","CTSL1","CCL3",0.464155987396581
"78","NRP1","CCL3",-0.190311228557591
"79","MET","CCL3",-0.378840827264091
"80","TNC","CCL3",0.454257306028943
"81","PRSS27","STK4",0.450177694367053
"82","CXCL1","STK4",-0.241771573395664
"83","TIMD4","STK4",0.428654701129722
"84","LOX-1","CEACAM8",0.583368028715959
"85","Gal-9","CEACAM8",0.501252172391679
"86","TM","CEACAM8",0.526018709908456
"87","SRC","CEACAM8",0.515388552650023
"88","GH","CEACAM8",0.694301995544335
"89","IDUA","CEACAM8",0.650653434004303
"90","DCN","CEACAM8",0.427594631731182
"91","Dkk-1","CEACAM8",0.602745644864302
"92","ANGPT1","CEACAM8",0.539796356955703
"93","PTX3","CEACAM8",0.461718068951156
"94","APOM","CEACAM8",0.446841806585802
"95","HO-1","CEACAM8",0.662967568342614
"96","PRELP","CEACAM8",0.566294121164475
"97","XCL1","CEACAM8",0.540555281589137
"98","CD40-L","CEACAM8",-0.438214256654578
"99","ITGB1BP2","CEACAM8",0.465511800979715
"100","MMP7","CEACAM8",0.457729194368542
"101","SOD2","CEACAM8",-0.218212319879701
"102","C2","CEACAM8",0.49582976958569
"103","PIgR","CEACAM8",-0.260771822283035
"104","hOSCAR","CEACAM8",-0.33481541004256
"105","HB-EGF","CEACAM8",-0.326531759773249
"106","TRAIL","CEACAM8",-0.345448213691125
"107","CCL25","CEACAM8",-0.199845015059522
"108","OSM","CEACAM8",0.481512604362716
"109","VEGFA","CEACAM8",-0.290418517687698
"110","CXCL6","CEACAM8",-0.326049165624657
"111","IL8","CEACAM8",-0.267775766954923
"112","IL7","CEACAM8",0.451640323327281
"113","CXCL10","CEACAM8",0.430924877981342
"114","CX3CL1","CEACAM8",-0.435002901675017
"115","CSF-1","CEACAM8",-0.243090915801005
"116","CCL28","CEACAM8",-0.528976853895073
"117","CD5","CEACAM8",-0.258616949327959
"118","FGF-21","CEACAM8",-0.284343714599302
"119","NEMO","CEACAM8",0.543867524226471
"120","AXIN1","CEACAM8",0.550243831958011
"121","ADA","CEACAM8",-0.254498709048071
"122","IL-18R1","CEACAM8",-0.298662705218296
"123","ICAM3","CEACAM8",0.433303495415862
"124","NRP1","CEACAM8",-0.390463966253486
"125","ENG","CEACAM8",-0.338147735259076
"126","IGFBP6","CEACAM8",0.476211020572489
"127","SELL","CEACAM8",-0.48915181106658
"128","MET","CEACAM8",-0.539992637315046
"129","ICAM1","CEACAM8",-0.287840534296445
"130","CST3","CEACAM8",0.471584579001098
"131","BOC","LOX-1",0.444437324808022
"132","Gal-9","LOX-1",0.469758122348476
"133","TM","LOX-1",0.434134302210309
"134","ADAM-TS13","LOX-1",-0.203538707197699
"135","LILRB5","LOX-1",0.517713744788817
"136","PTX3","LOX-1",0.496208907711989
"137","APOM","LOX-1",0.580402318655509
"138","HO-1","LOX-1",0.482240740696093
"139","VSIG2","LOX-1",0.563889268162001
"140","CXCL1","LOX-1",0.430069387943036
"141","CD40-L","LOX-1",-0.395669254380841
"142","MMP7","LOX-1",0.480067274995583
"143","TNFRSF11A","LOX-1",-0.216757356158651
"144","PDGF subunit B","LOX-1",-0.244900041758145
"145","C2","LOX-1",0.427434575536343
"146","IGLC2","LOX-1",-0.318725872211013
"147","PGF","LOX-1",0.431902871628277
"148","hOSCAR","LOX-1",-0.206971069576621
"149","CCL25","LOX-1",-0.238074208468064
"150","IL8","LOX-1",-0.219871699658118
"151","IL7","LOX-1",0.470331226042883
"152","CX3CL1","LOX-1",-0.279310835238908
"153","CSF-1","LOX-1",-0.352661325147774
"154","CCL28","LOX-1",-0.35720928262882
"155","CCL23","LOX-1",0.482494512474728
"156","NEMO","LOX-1",0.499017663295776
"157","HSP 27","LOX-1",0.44086601152367
"158","IL-18R1","LOX-1",-0.197796672373958
"159","NRP1","LOX-1",-0.182898479102719
"160","SELL","LOX-1",-0.408332668270151
"161","MET","LOX-1",-0.192964580649165
"162","TIE1","LOX-1",0.505352748324223
"163","FCGR2A","LOX-1",0.431102226818321
"164","ICAM1","LOX-1",-0.332033743589084
"165","SRC","BOC",0.429623381701549
