"","Var1","Var2","value"
"1","IL-27","C1QTNF1",0.773735913709185
"2","ADM","C1QTNF1",0.912575473769218
"3","STK4","C1QTNF1",0.482150533623793
"4","LOX-1","C1QTNF1",-0.221936915529381
"5","TRAIL-R2","C1QTNF1",-0.157430606054976
"6","BMP-6","C1QTNF1",0.47878481620413
"7","VASN","C1QTNF1",0.453836018729546
"8","GAS6","C1QTNF1",0.521607057369997
"9","FS","C1QTNF1",0.472824064132017
"10","KIM1","C1QTNF1",-0.358879924951463
"11","THBS2","C1QTNF1",0.620129622126361
"12","APOM","C1QTNF1",0.583458291941669
"13","PSGL-1","C1QTNF1",0.536847554999264
"14","TIE2","C1QTNF1",0.568908044073389
"15","CD40-L","C1QTNF1",-0.292872577631757
"16","PAR-1","C1QTNF1",0.866312634739365
"17","TNFRSF10A","C1QTNF1",0.58639057156572
"18","MMP7","C1QTNF1",0.722319192398352
"19","SOD2","C1QTNF1",0.713256665532998
"20","C2","C1QTNF1",0.400611891316933
"21","REN","C1QTNF1",-0.270297076311087
"22","IL18","C1QTNF1",-0.671981303240041
"23","GT","C1QTNF1",-0.309022128387064
"24","MARCO","C1QTNF1",-0.180412809266561
"25","hOSCAR","C1QTNF1",-0.327251033027494
"26","TNFRSF9","C1QTNF1",0.484820104033556
"27","TRAIL","C1QTNF1",-0.301616764975397
"28","MMP-10","C1QTNF1",-0.408726660238507
"29","CXCL5","C1QTNF1",0.564710176260887
"30","OSM","C1QTNF1",-0.168297425607392
"31","MCP-4","C1QTNF1",-0.197945348729153
"32","CD244","C1QTNF1",-0.295001096790633
"33","CXCL6","C1QTNF1",-0.347331758074182
"34","IL7","C1QTNF1",0.459367346798582
"35","Flt3L","C1QTNF1",-0.262674765602397
"36","MMP-1","C1QTNF1",0.408721248302322
"37","MCP-2","C1QTNF1",-0.237882384030412
"38","CX3CL1","C1QTNF1",-0.292996150056519
"39","IL-12B","C1QTNF1",0.40024032330749
"40","MCP-1","C1QTNF1",-0.189050145681139
"41","CSF-1","C1QTNF1",-0.496410247656519
"42","CCL28","C1QTNF1",-0.51555433737607
"43","CXCL9","C1QTNF1",-0.199263808924125
"44","CCL11","C1QTNF1",-0.16749998960094
"45","uPA","C1QTNF1",-0.28506679834603
"46","CD8A","C1QTNF1",0.562077366215189
"47","PARP-1","C1QTNF1",0.574895981956548
"48","CASP-8","C1QTNF1",-0.358336044442591
"49","TNFSF14","C1QTNF1",0.46380937583335
"50","OPG","C1QTNF1",0.685215768361892
"51","LIF-R","C1QTNF1",0.46213457200601
"52","PD-L1","C1QTNF1",0.413936180127589
"53","HSP 27","C1QTNF1",0.536229619322164
"54","CXCL11","C1QTNF1",0.754376392758735
"55","CCL20","C1QTNF1",0.751437929737851
"56","AXIN1","C1QTNF1",-0.623476880650181
"57","MEGF9","C1QTNF1",0.819917102341566
"58","CA3","C1QTNF1",0.515582875178479
"59","REG1A","C1QTNF1",0.433880592902175
"60","F7","C1QTNF1",0.564296192643699
"61","CDH1","C1QTNF1",0.605596777448682
"62","CNDP1","C1QTNF1",0.783567137611943
