"","Var1","Var2","value"
"1","IL-27","C1QTNF1",0.549544493291996
"2","ADM","C1QTNF1",0.42792010875738
"3","CCL3","C1QTNF1",0.504861231505191
"4","GAS6","C1QTNF1",0.470907330439116
"5","SCF","C1QTNF1",0.424002299573136
"6","OSMR","C1QTNF1",-0.102524039042329
"7","PSGL-1","C1QTNF1",0.467872636032498
"8","CXCL1","C1QTNF1",0.432665684783126
"9","XCL1","C1QTNF1",0.429873358723171
"10","PAR-1","C1QTNF1",0.779652831228676
"11","C2","C1QTNF1",0.404931530699425
"12","COL18A1","C1QTNF1",0.636887799152683
"13","LILRB2","C1QTNF1",0.419862771211516
"14","CCL4","C1QTNF1",-0.206170727676976
"15","CCL3","C1QTNF1",-0.104730481170219
"16","TGM2","C1QTNF1",-0.237151822284574
"17","NEMO","C1QTNF1",0.407435449970241
"18","OPG","C1QTNF1",0.418670953212457
"19","CXCL11","C1QTNF1",0.395603718689575
"20","CCL20","C1QTNF1",0.438259212466571
"21","FGF-19","C1QTNF1",0.445435086611875
"22","ADA","C1QTNF1",0.473012113891121
"23","MEGF9","C1QTNF1",0.787947491553023
"24","CA3","C1QTNF1",0.38884815294711
"25","CNDP1","C1QTNF1",0.389961397978943
"26","FCN2","C1QTNF1",0.393227281074391
"27","SERPINA7","C1QTNF1",0.399835820428039
"28","NID1","C1QTNF1",0.416490995872015
"29","MBL2","C1QTNF1",0.542146287056011
"30","CCL3","IL-27",0.536108264790968
"31","VASN","IL-27",0.402903203508484
"32","SCF","IL-27",0.394268063341235
"33","OSMR","IL-27",-0.127807865679674
"34","CCL17","IL-27",-0.113840946188997
"35","PAR-1","IL-27",0.571707367056588
"36","IGLC2","IL-27",-0.129453914977425
"37","HB-EGF","IL-27",-0.149961338038731
"38","CCL3","IL-27",-0.104367315453518
"39","4E-BP1","IL-27",-0.203261695813164
"40","LEP","IL-27",-0.186665942233828
"41","IL7","IL-27",0.404237233654677
"42","CX3CL1","IL-27",-0.178045328837966
"43","CCL28","IL-27",-0.194816837426306
"44","SCF","IL-27",-0.180188317167546
"45","VEGFD","IL-27",-0.117506867679362
"46","LIF-R","IL-27",-0.128391240822975
"47","CD59","IL-27",0.393282148335278
"48","PAM","IL-27",-0.0998568841254751
"49","MEGF9","IL-27",0.533866755210519
"50","REG1A","IL-27",0.397243393001601
"51","PLXNB2","IL-27",-0.117175465047587
"52","DPP4","IL-27",-0.151921625787832
"53","SPARCL1","IL-27",0.396728229227451
"54","MET","IL-27",-0.218134680169577
"55","SORT1","ADM",-0.142007811746149
"56","VASN","ADM",0.478427404318974
"57","GAS6","ADM",0.518687065156477
"58","KIM1","ADM",-0.211859475501616
"59","FGF-21","ADM",0.571265894285469
"60","SCF","ADM",0.43761991808374
"61","PRSS8","ADM",0.56754961957428
"62","IL16","ADM",0.459343984202461
"63","OSMR","ADM",-0.0995729801847704
"64","Dkk-1","ADM",-0.247546025608384
"65","SPON2","ADM",0.564333029534926
"66","PSGL-1","ADM",0.633244814212282
"67","IL-1ra","ADM",-0.154929481600508
"68","PRSS27","ADM",0.404970632141249
"69","TIE2","ADM",0.544514763238085
"70","CD40-L","ADM",-0.21869993623207
"71","PAR-1","ADM",0.773325176808532
"72","MMP7","ADM",0.486052605605152
"73","LPL","ADM",0.566293915800045
"74","HB-EGF","ADM",-0.172984736856526
"75","IFN-gamma","ADM",-0.109268323413546
"76","CXCL5","ADM",0.539570893306453
"77","CCL4","ADM",-0.149646716391036
"78","IL8","ADM",-0.114389096144628
"79","IL7","ADM",0.396144615491646
"80","Flt3L","ADM",-0.10430528964356
"81","TGM2","ADM",-0.152112642092989
"82","FGF-21","ADM",-0.119510491728921
"83","TNF","ADM",-0.183842872922589
"84","TNFSF14","ADM",0.598741968403944
"85","AGRP","ADM",0.483053785083025
"86","CXCL11","ADM",0.811253826470774
"87","CCL20","ADM",0.596029928260639
"88","CTSL1","ADM",0.612592299232431
"89","CCL19","ADM",-0.183198631646096
"90","ADA","ADM",0.580593242861491
"91","IL-18R1","ADM",-0.118529183020042
"92","PRSS2","ADM",-0.213924998931873
"93","CA3","ADM",0.602666941752061
"94","CHL1","ADM",0.561592380806139
"95","CNDP1","ADM",0.937823849024266
"96","SERPINA7","ADM",0.933230677087052
"97","NID1","ADM",0.509762980783587
"98","VCAM1","ADM",0.582056876609389
"99","CD46","ADM",-0.287098963265443
"100","GNLY","ADM",-0.124442755553203
"101","IGFBP6","ADM",-0.139619576583105
"102","SELL","ADM",-0.152431302065789
"103","FCGR3B","ADM",0.567651597488388
"104","PTPRS","ADM",0.845897049933812
"105","CCL14","ADM",0.868058980683816
"106","MBL2","ADM",-0.108632330196415
"107","ICAM1","ADM",-0.306412681091639
"108","LOX-1","CCL3",0.401447903284403
"109","SRC","CCL3",0.431757121280299
"110","GH","CCL3",0.574964434952844
"111","PRSS8","CCL3",-0.110936896056588
"112","THBS2","CCL3",0.404273533799869
"113","APOM","CCL3",0.426156681961632
"114","HO-1","CCL3",0.485626801940088
"115","PRELP","CCL3",0.486277590316679
"116","XCL1","CCL3",0.420362752879597
"117","PAR-1","CCL3",0.454014506756953
"118","TNFRSF10A","CCL3",0.404319138660611
"119","PDGF subunit B","CCL3",-0.155423938496745
"120","COL18A1","CCL3",0.389936705898661
"121","LILRB2","CCL3",0.473766453820417
"122","GIF","CCL3",-0.152950122439002
"123","HB-EGF","CCL3",-0.142266551585733
"124","TRAIL","CCL3",-0.151447663189676
"125","MMP-10","CCL3",-0.108288973121625
"126","CCL3","CCL3",-0.15318833726212
"127","LEP","CCL3",-0.131619249684931
"128","TNFRSF13B","CCL3",0.406813050516063
"129","CX3CL1","CCL3",-0.163217639776421
"130","CCL28","CCL3",-0.349545674771028
"131","ACE2","CCL3",0.416396371243126
"132","NEMO","CCL3",0.40978332913565
"133","TNF","CCL3",0.469954702270495
"134","AXIN1","CCL3",0.41566090737994
"135","CD59","CCL3",0.597573022721771
"136","ST6GAL1","CCL3",-0.113153411514201
"137","IL7R","CCL3",0.465928758488827
"138","F7","CCL3",-0.24791469509267
"139","LILRB1","CCL3",0.474008766313335
"140","DPP4","CCL3",-0.14495940623665
"141","SPARCL1","CCL3",0.421091351511496
"142","GNLY","CCL3",0.461497293751829
"143","IGFBP6","CCL3",0.491884640115262
"144","MET","CCL3",-0.255563756850055
"145","TNC","CCL3",0.454721352239187
"146","SORT1","STK4",0.415923395520919
"147","Dkk-1","STK4",-0.172339970068196
"148","IL-1ra","STK4",-0.110676000329855
"149","HO-1","STK4",0.424520547414686
"150","PRSS27","STK4",0.510830329927909
"151","GT","STK4",0.468379906401872
"152","MARCO","STK4",-0.205821271649452
"153","TRANCE","STK4",0.399937397442624
"154","EN-RAGE","STK4",0.38701949306597
"155","MMP-10","STK4",-0.110229985489801
"156","CCL25","STK4",-0.123429751573313
"157","CXCL5","STK4",0.404781965454454
"158","IL18","STK4",0.389918217308388
"159","MCP-1","STK4",0.395666027441322
"160","CXCL1","STK4",-0.231037103577612
"161","TGM2","STK4",-0.10584536508191
"162","SCF","STK4",-0.123495444960408
"163","ADA","STK4",0.400307016288624
"164","PROC","STK4",-0.15586374542626
"165","EFEMP1","STK4",0.474880490370709
"166","CR2","STK4",-0.135981201735048
"167","TIMD4","STK4",0.425471450613738
"168","BOC","CEACAM8",0.418113705550669
"169","Gal-9","CEACAM8",0.496975922550154
"170","GH","CEACAM8",0.439793770389836
"171","IDUA","CEACAM8",0.479921950586044
"172","ADAM-TS13","CEACAM8",-0.171102418020775
"173","ANGPT1","CEACAM8",0.48088903754559
"174","HO-1","CEACAM8",0.460816511007081
"175","PRELP","CEACAM8",0.387075948413904
"176","XCL1","CEACAM8",0.473269074422731
"177","CD40-L","CEACAM8",-0.107833543828158
"178","TNFRSF10A","CEACAM8",0.531621049044137
"179","TNFRSF11A","CEACAM8",-0.106833443121676
"180","IGLC2","CEACAM8",-0.264066739368774
"181","hOSCAR","CEACAM8",-0.306874334864337
"182","TRAIL","CEACAM8",-0.229895414868083
"183","MMP-10","CEACAM8",-0.221830392687159
"184","CCL25","CEACAM8",-0.115385517039318
"185","MCP-4","CEACAM8",-0.186336636361532
"186","LEP","CEACAM8",-0.196686568299914
"187","DNER","CEACAM8",-0.17851041134594
"188","IL8","CEACAM8",-0.107193472201609
"189","CX3CL1","CEACAM8",-0.280258393195024
"190","CCL28","CEACAM8",-0.347586414084214
"191","TGM2","CEACAM8",-0.102171371760894
"192","NEMO","CEACAM8",0.478158062504412
"193","PD-L1","CEACAM8",0.42738981955937
"194","PAM","CEACAM8",-0.156314181168734
"195","ICAM3","CEACAM8",0.431165289933286
"196","CR2","CEACAM8",-0.128818758804425
"197","SELL","CEACAM8",-0.125524624252773
"198","MET","CEACAM8",-0.376906349690019
"199","MBL2","CEACAM8",-0.105764931853413
"200","TIE1","CEACAM8",0.405516180230129
"201","FCGR2A","CEACAM8",0.434950105834493
"202","GAS6","LOX-1",0.426676457663679
"203","CD84","LOX-1",-0.127551896046261
"204","SRC","LOX-1",0.416980469488124
"205","KIM1","LOX-1",0.456418361221325
"206","ADAM-TS13","LOX-1",-0.113024319091035
"207","THBS2","LOX-1",0.393121653227832
"208","APOM","LOX-1",0.484778480855456
"209","HO-1","LOX-1",0.387218894570332
"210","VSIG2","LOX-1",0.516021474139356
"211","XCL1","LOX-1",0.501732030618312
"212","SERPINA12","LOX-1",0.488166473282194
"213","TNFRSF10A","LOX-1",0.434723156766904
"214","PDGF subunit B","LOX-1",-0.284003033211008
"215","C2","LOX-1",0.409584404517085
"216","IGLC2","LOX-1",-0.252228801772827
"217","LILRB2","LOX-1",0.399410813907621
"218","KIT","LOX-1",0.4462435513484
"219","GT","LOX-1",0.393348534677513
"220","hOSCAR","LOX-1",-0.210978958418512
"221","TRANCE","LOX-1",0.424764888603247
"222","EN-RAGE","LOX-1",0.476001012514987
"223","MMP-10","LOX-1",-0.300440422641401
"224","CCL25","LOX-1",-0.175323378705253
"225","IFN-gamma","LOX-1",0.401464308110788
"226","VEGFA","LOX-1",0.405301570757071
"227","CCL4","LOX-1",-0.246799385566281
"228","CCL3","LOX-1",-0.235573517538366
"229","CX3CL1","LOX-1",-0.165044555639995
"230","MCP-1","LOX-1",0.386835358511644
"231","CSF-1","LOX-1",-0.112409070745902
"232","CXCL1","LOX-1",-0.137956266776885
"233","CCL28","LOX-1",-0.136829668305173
"234","TGM2","LOX-1",-0.186850131684047
"235","CCL23","LOX-1",0.419509012163525
"236","NEMO","LOX-1",0.460260046034258
"237","TNF","LOX-1",0.42379894925051
"238","CD8A","LOX-1",0.488020584857053
"239","PARP-1","LOX-1",0.411833118708837
"240","FGF-19","LOX-1",0.397383660565961
"241","CCL19","LOX-1",0.400580996569085
"242","CD59","LOX-1",0.418171859011585
"243","GP1BA","LOX-1",0.400390089925107
"244","CFHR5","LOX-1",0.424221802055854
"245","GNLY","LOX-1",0.43813578845169
"246","TIE1","LOX-1",0.393504120373227
"247","LYVE1","LOX-1",0.404716889359476
"248","FCGR2A","LOX-1",0.424927445463042
"249","ICAM1","LOX-1",-0.137261864308625
"250","TIMD4","LOX-1",0.440361243320932
"251","Gal-9","BOC",0.460495427962663
"252","GAS6","BOC",0.46785756961559
"253","PRSS8","BOC",-0.131581504290146
"254","ADAM-TS13","BOC",-0.292348934076681
"255","OSMR","BOC",-0.121385901077016
"256","XCL1","BOC",0.473742088839314
"257","SERPINA12","BOC",0.427814396579158
"258","TNFRSF10A","BOC",0.455503465326508
"259","MMP7","BOC",0.514101117099703
"260","TNFRSF11A","BOC",-0.371924332887516
"261","PDGF subunit B","BOC",-0.193604922478969
"262","IGLC2","BOC",-0.231459529653603
"263","TF","BOC",0.390375033419802
"264","KIT","BOC",0.409742694967937
"265","hOSCAR","BOC",-0.210860233574547
"266","TRANCE","BOC",0.38735725136129
"267","TNFRSF9","BOC",0.401090950797745
"268","CCL25","BOC",-0.183728713770488
"269","MCP-4","BOC",-0.170618562338626
"270","CCL4","BOC",-0.157734119262259
"271","CCL3","BOC",-0.108773816311632
"272","CX3CL1","BOC",-0.111935556825103
"273","CCL28","BOC",-0.299193770157573
"274","TGM2","BOC",-0.315707449413483
"275","CCL23","BOC",0.482880035063122
"276","PD-L2","BOC",0.390633098355223
"277","NEMO","BOC",0.536276203265427
"278","PARP-1","BOC",0.479635850346703
"279","PD-L1","BOC",0.409937299481358
"280","HSP 27","BOC",0.413780330217152
"281","PAM","BOC",-0.252759450314209
"282","F7","BOC",-0.149052989843267
"283","LILRB1","BOC",0.460239408982777
"284","NRP1","BOC",-0.113984037130163
"285","MET","BOC",-0.265818291762576
"286","COMP","BOC",0.395187729924624
"287","MBL2","BOC",-0.147528943268724
"288","TIE1","BOC",0.537198019940923
"289","FCGR2A","BOC",0.493086604025395
"290","ICAM1","BOC",-0.115658933270018
"291","CD84","SORT1",-0.0995450502583023
"292","PRSS8","SORT1",-0.151192165990012
"293","CXCL1","SORT1",-0.130172144504132
"294","KIT","SORT1",0.38921915622878
"295","GT","SORT1",0.394919608415493
"296","MARCO","SORT1",-0.153852435903842
"297","hOSCAR","SORT1",-0.1318592698276
"298","EN-RAGE","SORT1",0.445080981037508
"299","MMP-10","SORT1",-0.351537252132738
"300","OSM","SORT1",-0.174307377151205
"301","VEGFA","SORT1",0.441181837897377
"302","HAOX1","SORT1",-0.131888565398495
"303","CCL3","SORT1",-0.111486220432567
"304","DNER","SORT1",-0.190822386037863
"305","CXCL10","SORT1",-0.255102286647434
"306","CX3CL1","SORT1",-0.122089557103888
"307","CXCL1","SORT1",-0.103067122200518
"308","TGM2","SORT1",-0.10016936169495
"309","PD-L2","SORT1",-0.150233594585061
"310","FABP2","SORT1",-0.150715061137681
"311","TNFSF14","SORT1",-0.121916246555531
"312","CXCL11","SORT1",-0.102605887779686
"313","ST6GAL1","SORT1",-0.162665062815386
"314","NOTCH1","SORT1",-0.140492195686962
"315","CNDP1","SORT1",-0.144917205576227
"316","SERPINA7","SORT1",-0.13084354429738
"317","CR2","SORT1",-0.149197745468628
"318","PTPRS","SORT1",-0.120397810150891
"319","CCL14","SORT1",-0.172001906239815
"320","TNC","SORT1",0.434766705310186
"321","SERPINA5","SORT1",-0.207162981988476
"322","GAS6","TRAIL-R2",0.396206008121733
"323","ADAM-TS13","TRAIL-R2",-0.125552682266338
"324","LILRB5","TRAIL-R2",0.480533258989241
"325","PRSS27","TRAIL-R2",0.396944300762131
"326","XCL1","TRAIL-R2",0.44866461433107
"327","C2","TRAIL-R2",0.489232184179816
"328","hOSCAR","TRAIL-R2",-0.207426735045627
"329","TRANCE","TRAIL-R2",0.4906455466613
"330","TRAIL","TRAIL-R2",-0.200121507884564
"331","MMP-10","TRAIL-R2",-0.152413105445109
"332","CCL4","TRAIL-R2",-0.175717598633081
"333","CXCL1","TRAIL-R2",-0.165601899613694
"334","VEGFD","TRAIL-R2",-0.106027193141441
"335","PROC","TRAIL-R2",-0.122615277243295
"336","GP1BA","TRAIL-R2",0.461617174458601
"337","CR2","TRAIL-R2",-0.258519377451912
"338","MET","TRAIL-R2",-0.107250366456595
"339","SERPINA5","TRAIL-R2",-0.100332471636561
"340","FCGR2A","TRAIL-R2",0.475815645924394
"341","BMP-6","Gal-9",0.812431458247238
"342","GAS6","Gal-9",0.617797384038307
"343","IL1RL2","Gal-9",0.49244613655845
"344","TM","Gal-9",0.453625091254146
"345","IDUA","Gal-9",0.444276048242407
"346","ADAM-TS13","Gal-9",-0.237509608556878
"347","LILRB5","Gal-9",0.564836566117607
"348","GLO1","Gal-9",0.516991149232587
