"","Var1","Var2","value"
"1","IL-27","C1QTNF1",0.568003931026905
"2","ADM","C1QTNF1",0.739043947452724
"3","CCL3","C1QTNF1",0.503646706129315
"4","VASN","C1QTNF1",0.402814851757136
"5","KIM1","C1QTNF1",-0.347930083578003
"6","CTRC","C1QTNF1",-0.0279924853466732
"7","THBS2","C1QTNF1",0.396318334306882
"8","PSGL-1","C1QTNF1",0.433545810986787
"9","CXCL1","C1QTNF1",-0.0214254058166711
"10","PAR-1","C1QTNF1",0.712658342039683
"11","TNFRSF10A","C1QTNF1",0.423969065612378
"12","ITGB1BP2","C1QTNF1",-0.0271006908158748
"13","IL18","C1QTNF1",-0.331839743020559
"14","LPL","C1QTNF1",0.535526306893234
"15","hOSCAR","C1QTNF1",-0.190286376414868
"16","MMP12","C1QTNF1",-0.0334073485325748
"17","TRAIL","C1QTNF1",-0.0626038864747834
"18","IL-10RB","C1QTNF1",-0.0379864313277272
"19","CXCL5","C1QTNF1",0.387253195622487
"20","MCP-4","C1QTNF1",-0.128987122628726
"21","CXCL6","C1QTNF1",-0.0345079905255027
"22","4E-BP1","C1QTNF1",-0.0375570810844239
"23","LEP","C1QTNF1",-0.0410885415117496
"24","DNER","C1QTNF1",-0.0589016023353255
"25","IL7","C1QTNF1",0.421241506231603
"26","CSF-1","C1QTNF1",-0.0951014893232197
"27","CCL28","C1QTNF1",-0.346802485915079
"28","uPA","C1QTNF1",-0.264817694132852
"29","CD8A","C1QTNF1",0.459365520008333
"30","CASP-8","C1QTNF1",-0.0619911449778259
"31","OPG","C1QTNF1",0.507655623267182
"32","AGRP","C1QTNF1",0.428201194446051
"33","CXCL11","C1QTNF1",0.506034178910011
"34","CCL20","C1QTNF1",0.518556406800257
"35","AXIN1","C1QTNF1",-0.0527599015426083
"36","CCL19","C1QTNF1",-0.304936705364131
"37","PAM","C1QTNF1",-0.309039362867231
"38","PROC","C1QTNF1",-0.0804181914663378
"39","MEGF9","C1QTNF1",0.536392391332798
"40","REG1A","C1QTNF1",0.510360462408939
"41","ICAM3","C1QTNF1",-0.108873837076016
"42","CNDP1","C1QTNF1",0.682581977403108
"43","NRP1","C1QTNF1",-0.0306582729465996
"44","TIMP1","C1QTNF1",-0.0407523486312977
"45","SERPINA7","C1QTNF1",0.467273088245598
"46","NID1","C1QTNF1",0.750829067790762
"47","SPARCL1","C1QTNF1",0.586035305807945
"48","SAA4","C1QTNF1",-0.387044188187151
"49","TCN2","C1QTNF1",-0.0889004992644078
"50","MET","C1QTNF1",-0.033424127164142
"51","COMP","C1QTNF1",-0.193556508424898
"52","PTPRS","C1QTNF1",0.451592912204423
"53","CCL14","C1QTNF1",0.761032120725814
"54","TGFBI","C1QTNF1",0.448341402030806
"55","SERPINA5","C1QTNF1",-0.0531976799542209
"56","ADM","IL-27",0.575582813874282
"57","CCL3","IL-27",0.680338470809477
"58","BMP-6","IL-27",0.401821294029076
"59","VASN","IL-27",0.466176868720285
"60","GAS6","IL-27",0.430382139430449
"61","IL1RL2","IL-27",0.411879944375106
"62","CD84","IL-27",0.403766003840371
"63","MERTK","IL-27",-0.032561366052005
"64","AMBP","IL-27",0.394716275786924
"65","LILRB5","IL-27",0.423729142689024
"66","THBS2","IL-27",0.4909813604187
"67","SPON2","IL-27",0.389213433145392
"68","PSGL-1","IL-27",0.459862056114123
"69","PRSS27","IL-27",0.446550080299244
"70","XCL1","IL-27",0.440971836488627
"71","PAR-1","IL-27",0.645240058658031
"72","SERPINA12","IL-27",0.397085099024142
"73","MMP7","IL-27",0.577691245020519
"74","SOD2","IL-27",0.411806983403385
"75","COL18A1","IL-27",0.451164241639936
"76","LILRB2","IL-27",0.42997193498155
"77","LPL","IL-27",0.509054785181349
"78","RAGE","IL-27",0.463955049652158
"79","IL-10RB","IL-27",-0.071005416085744
"80","CD6","IL-27",0.438812790452569
"81","CXCL5","IL-27",0.517420291324915
"82","LEP","IL-27",-0.0739964639680562
"83","IL7","IL-27",0.480657307333657
"84","NEMO","IL-27",0.457581840370595
"85","PARP-1","IL-27",-0.0571721624311562
"86","AGRP","IL-27",0.482112631953755
"87","CXCL11","IL-27",0.49141776371989
"88","CCL20","IL-27",0.540113855902882
"89","FGF-19","IL-27",0.491640446394946
"90","AXIN1","IL-27",-0.0314648551994946
"91","CCL19","IL-27",-0.117834020007603
"92","ADA","IL-27",0.466009293752441
"93","PROC","IL-27",-0.165651620701005
"94","MEGF9","IL-27",0.6877707408869
"95","PRSS2","IL-27",-0.0560214177093486
"96","CA3","IL-27",0.526957737728154
"97","NCAM1","IL-27",0.499983299015274
"98","ICAM3","IL-27",-0.151140880430945
"99","LILRB1","IL-27",0.611407466369346
"100","CDH1","IL-27",0.464049192854392
"101","CNDP1","IL-27",0.481210324162058
"102","NRP1","IL-27",-0.0691522611325937
"103","FCN2","IL-27",0.561759940227106
"104","SERPINA7","IL-27",0.544950613737057
"105","SPARCL1","IL-27",0.594008213501731
"106","SAA4","IL-27",-0.0234389179265063
"107","VCAM1","IL-27",0.447404648740589
"108","MET","IL-27",-0.12407491960199
"109","FCGR3B","IL-27",0.518031809666065
"110","COMP","IL-27",-0.0304942927002385
"111","CCL14","IL-27",0.50072796360901
"112","TGFBI","IL-27",0.506405245347753
"113","CST3","IL-27",-0.0497586733358434
"114","CCL3","ADM",0.669718437358337
"115","VASN","ADM",0.70932399078981
"116","GAS6","ADM",0.692100970453411
"117","KIM1","ADM",-0.0904322947247905
"118","SCF","ADM",0.421835736353957
"119","SPON2","ADM",0.541379097230452
"120","PSGL-1","ADM",0.543261946157553
"121","CXCL1","ADM",-0.0277361485267875
"122","XCL1","ADM",0.532964429903019
"123","CD40-L","ADM",-0.0239614583618143
"124","PAR-1","ADM",0.934039586915656
"125","SERPINA12","ADM",-0.0331464129450537
"126","MMP7","ADM",0.486093713475758
"127","IL18","ADM",-0.0787332516582972
"128","LPL","ADM",0.755587558593942
"129","RAGE","ADM",0.65865818496382
"130","hOSCAR","ADM",-0.052207003165513
"131","CD6","ADM",0.42222326522925
"132","CXCL5","ADM",0.709777658497664
"133","IL7","ADM",0.480164110863623
"134","CSF-1","ADM",-0.021768684215724
"135","CCL28","ADM",-0.0451522213551861
"136","uPA","ADM",-0.103301732944296
"137","AGRP","ADM",0.544080027540162
"138","CXCL11","ADM",0.661501861646032
"139","CCL20","ADM",0.633403639760755
"140","CTSL1","ADM",0.393350034265932
"141","CCL19","ADM",-0.188674514511357
"142","ADA","ADM",0.404430562521119
"143","PAM","ADM",-0.0341189941433866
"144","PROC","ADM",-0.130740129712069
"145","MEGF9","ADM",0.683044119977528
"146","CA3","ADM",0.460362722252168
"147","CHL1","ADM",0.46624869851437
"148","ICAM3","ADM",-0.153157754114347
"149","CNDP1","ADM",0.889668413361144
"150","NRP1","ADM",-0.0326977978095654
"151","SERPINA7","ADM",0.753689896342941
"152","NID1","ADM",0.56336141658262
"153","SPARCL1","ADM",0.445021989150921
"154","SAA4","ADM",-0.134091305941938
"155","VCAM1","ADM",0.413041466751194
"156","SELL","ADM",-0.0213689645731311
"157","FCGR3B","ADM",0.448200009318255
"158","COMP","ADM",-0.145305993570241
"159","PTPRS","ADM",0.484269924398689
"160","CCL14","ADM",0.849578910758191
"161","TGFBI","ADM",0.617453437633597
"162","CEACAM8","CCL3",-0.162528391399932
"163","TRAIL-R2","CCL3",0.490014116876036
"164","BMP-6","CCL3",0.394866955276059
"165","VASN","CCL3",0.529893291167273
"166","GAS6","CCL3",0.533564458002677
"167","MERTK","CCL3",-0.24709511681578
"168","AMBP","CCL3",0.554564458813524
"169","LILRB5","CCL3",0.480703701630831
"170","THBS2","CCL3",0.485252626100251
"171","APOM","CCL3",0.509222871593326
"172","PSGL-1","CCL3",0.388568513134275
"173","PRSS27","CCL3",0.427748008827595
"174","CXCL1","CCL3",0.414318996603496
"175","XCL1","CCL3",0.462467127294784
"176","PAR-1","CCL3",0.714547845823274
"177","SERPINA12","CCL3",0.458111264478524
"178","MMP7","CCL3",0.621979544064402
"179","C2","CCL3",0.398568649347025
"180","COL18A1","CCL3",0.551505610849917
"181","LILRB2","CCL3",0.460105305515871
"182","LPL","CCL3",0.550814608136587
"183","RAGE","CCL3",0.564039757375866
"184","TNFRSF9","CCL3",-0.205891036262653
"185","CD6","CCL3",0.507158451590071
"186","CXCL5","CCL3",0.570521301586384
"187","IL7","CCL3",0.467559086786325
"188","CCL23","CCL3",0.423862048680254
"189","NEMO","CCL3",0.468585099005314
"190","CD8A","CCL3",-0.203580257055684
"191","PARP-1","CCL3",-0.243442435520246
"192","CASP-8","CCL3",0.415656866589672
"193","OPG","CCL3",-0.137368004111018
"194","AGRP","CCL3",0.498538002444654
"195","PD-L1","CCL3",0.390739800495897
"196","CCL20","CCL3",0.498847622864939
"197","FGF-19","CCL3",0.651303307345386
"198","CCL19","CCL3",-0.0429012415523161
"199","ADA","CCL3",0.564232010530218
"200","CD59","CCL3",0.463567097664995
"201","PROC","CCL3",-0.117020709927144
"202","MEGF9","CCL3",0.760167637958724
"203","PRSS2","CCL3",-0.107934833255993
"204","CA3","CCL3",0.51697394914566
"205","CHL1","CCL3",0.441900114489644
"206","F7","CCL3",-0.122546623740735
"207","NCAM1","CCL3",0.578634397182658
"208","ICAM3","CCL3",-0.133891813618189
"209","LILRB1","CCL3",0.689124621112864
"210","CDH1","CCL3",0.477960870686165
"211","CNDP1","CCL3",0.530860173201835
"212","NRP1","CCL3",-0.0621593491422056
"213","FCN2","CCL3",0.661139144063119
"214","ENG","CCL3",-0.181057383424396
"215","THBS4","CCL3",-0.169272141036011
"216","SERPINA7","CCL3",0.786748697109969
"217","SPARCL1","CCL3",0.591925311082855
"218","VCAM1","CCL3",0.524032003681876
"219","MET","CCL3",-0.0396498171213675
"220","FCGR3B","CCL3",0.520815370908388
"221","COMP","CCL3",-0.0712431894276351
"222","CCL14","CCL3",0.668185616835026
"223","MBL2","CCL3",0.406045512928608
"224","TGFBI","CCL3",0.470616270112247
"225","FCGR2A","CCL3",0.393690343163339
"226","CST3","CCL3",-0.11201675746762
"227","TRAIL-R2","STK4",0.500350989284456
"228","Gal-9","STK4",0.406490526425031
"229","BMP-6","STK4",0.541127303184835
"230","TM","STK4",0.441896855993503
"231","SCF","STK4",0.396270540156327
"232","IDUA","STK4",0.391754785723077
